n,time,ln(n)
32200000,1250,1394.055735
32300000,1584,1394.503083
32400000,708,1394.949048
32500000,1708,1395.393638
32600000,1584,1395.836863
32700000,1667,1396.27873
32800000,1209,1396.719248
32900000,1833,1397.158425
33000000,1500,1397.596269
33100000,1041,1398.032788
33200000,1000,1398.467991
33300000,1291,1398.901884
33400000,1334,1399.334477
33500000,1459,1399.765776
33600000,1125,1400.19579
33700000,1292,1400.624526
33800000,1458,1401.051991
33900000,1500,1401.478194
34000000,1250,1401.903141
34100000,1333,1402.32684
34200000,1625,1402.749299
34300000,2125,1403.170524
34400000,1375,1403.590523
34500000,1250,1404.009303
34600000,1375,1404.42687
34700000,1458,1404.843233
34800000,1625,1405.258397
34900000,1708,1405.67237
35000000,1250,1406.085159
35100000,1583,1406.496769
35200000,1000,1406.907209
35300000,1167,1407.316485
35400000,1500,1407.724602
35500000,875,1408.131569
35600000,1083,1408.537391
35700000,1333,1408.942074
35800000,1375,1409.345625
35900000,667,1409.748051
36000000,1375,1410.149357
36100000,917,1410.54955
36200000,1083,1410.948636
36300000,1459,1411.346621
36400000,1417,1411.743511
36500000,1250,1412.139313
36600000,1083,1412.534031
36700000,1208,1412.927673
36800000,1334,1413.320243
36900000,875,1413.711748
37000000,1083,1414.102193
37100000,1167,1414.491585
37200000,1541,1414.879929
37300000,1625,1415.267229
37400000,1375,1415.653493
37500000,1375,1416.038726
37600000,1042,1416.422933
37700000,1125,1416.806119
37800000,1583,1417.18829
37900000,1667,1417.569451
38000000,1333,1417.949608
38100000,1333,1418.328766
38200000,1333,1418.70693
38300000,625,1419.084106
38400000,750,1419.460298
38500000,1541,1419.835511
38600000,1250,1420.209751
38700000,1334,1420.583023
38800000,1666,1420.955332
38900000,1542,1421.326682
39000000,1292,1421.697079
39100000,1583,1422.066527
39200000,1875,1422.435032
39300000,834,1422.802598
39400000,792,1423.169229
39500000,1250,1423.534932
39600000,916,1423.899709
39700000,1875,1424.263567
39800000,1875,1424.626509
39900000,1083,1424.988541
40000000,2084,1425.349666
40100000,1708,1425.70989
40200000,1333,1426.069217
40300000,1750,1426.42765
40400000,1625,1426.785196
40500000,1458,1427.141857
40600000,1417,1427.497639
40700000,1041,1427.852546
40800000,1500,1428.206582
40900000,1209,1428.559751
41000000,1542,1428.912057
41100000,1625,1429.263506
41200000,1084,1429.6141
41300000,1750,1429.963845
41400000,1334,1430.312743
41500000,1000,1430.6608
41600000,1875,1431.008019
41700000,1583,1431.354405
41800000,1667,1431.699961
41900000,1292,1432.044691
42000000,1959,1432.388599
42100000,1792,1432.73169
42200000,1375,1433.073966
42300000,1125,1433.415433
42400000,1375,1433.756093
42500000,1625,1434.095951
42600000,500,1434.435009
42700000,1333,1434.773273
42800000,1500,1435.110746
42900000,1333,1435.447431
43000000,1417,1435.783332
