n,time,log
5080000,1125,1273.167648
5090000,1625,1273.508107
5100000,1333,1273.847898
5110000,1375,1274.187023
5120000,1375,1274.525486
5130000,1417,1274.863287
5140000,1458,1275.200431
5150000,1459,1275.53692
5160000,1458,1275.872756
5170000,1500,1276.207942
5180000,1375,1276.54248
5190000,500,1276.876373
5200000,2500,1277.209623
5210000,1166,1277.542233
5220000,1542,1277.874205
5230000,1834,1278.205542
5240000,1083,1278.536246
5250000,1375,1278.866319
5260000,2000,1279.195764
5270000,1458,1279.524584
5280000,1000,1279.85278
5290000,875,1280.180355
5300000,1083,1280.507311
5310000,1333,1280.833652
5320000,375,1281.159378
5330000,1708,1281.484492
5340000,1250,1281.808997
5350000,1208,1282.132895
5360000,1083,1282.456188
5370000,1375,1282.778879
5380000,1125,1283.100969
5390000,1292,1283.422461
5400000,1292,1283.743357
5410000,1291,1284.06366
5420000,1292,1284.383371
5430000,1500,1284.702492
5440000,1375,1285.021026
5450000,1250,1285.338976
5460000,1208,1285.656342
5470000,791,1285.973128
5480000,1125,1286.289336
5490000,1083,1286.604966
5500000,1250,1286.920023
5510000,2542,1287.234507
5520000,1458,1287.54842
5530000,1083,1287.861766
5540000,1333,1288.174545
5550000,1333,1288.486761
5560000,1166,1288.798414
5570000,1208,1289.109508
5580000,1209,1289.420043
5590000,1416,1289.730022
5600000,1375,1290.039448
5610000,1417,1290.348321
5620000,1084,1290.656644
5630000,1542,1290.964419
5640000,1250,1291.271648
5650000,1250,1291.578332
5660000,792,1291.884475
5670000,1250,1292.190077
5680000,1292,1292.49514
5690000,792,1292.799667
5700000,1500,1293.103659
5710000,542,1293.407118
5720000,1250,1293.710046
5730000,1291,1294.012445
5740000,1125,1294.314317
5750000,1000,1294.615663
5760000,2000,1294.916486
5770000,1584,1295.216787
5780000,1459,1295.516567
5790000,1250,1295.81583
5800000,1542,1296.114576
5810000,1417,1296.412808
5820000,1958,1296.710527
5830000,2042,1297.007734
5840000,1125,1297.304433
5850000,1708,1297.600623
5860000,1292,1297.896308
5870000,1125,1298.191489
5880000,1375,1298.486167
5890000,1125,1298.780344
5900000,1083,1299.074023
5910000,1292,1299.367204
5920000,1250,1299.659889
5930000,1167,1299.952081
5940000,1417,1300.24378
5950000,500,1300.534989
5960000,1208,1300.825708
5970000,708,1301.11594
5980000,1584,1301.405686
5990000,1334,1301.694949
6000000,1625,1301.983728
6010000,1708,1302.272027
6020000,958,1302.559847
6030000,1416,1302.847189
6040000,1459,1303.134054
6050000,1459,1303.420445
6060000,1416,1303.706364
6070000,1708,1303.99181
6080000,750,1304.276787
6090000,1666,1304.561296
6100000,750,1304.845337
6110000,1459,1305.128914
6120000,1334,1305.412027
6130000,1500,1305.694677
6140000,1042,1305.976867
6150000,1333,1306.258598
6160000,1250,1306.53987
6170000,1041,1306.820687
6180000,1084,1307.101049
6190000,1459,1307.380957
6200000,1500,1307.660414
6210000,1708,1307.939421
6220000,1125,1308.217978
6230000,1708,1308.496088
6240000,1750,1308.773752
6250000,1750,1309.050971
6260000,1291,1309.327747
6270000,1583,1309.604081
6280000,791,1309.879975
6290000,1542,1310.15543
6300000,1542,1310.430448
6310000,1334,1310.705029
6320000,1583,1310.979175
6330000,917,1311.252888
6340000,1792,1311.526169
6350000,1542,1311.799019
6360000,1042,1312.07144
6370000,2042,1312.343433
6380000,1542,1312.614999
6390000,1375,1312.88614
6400000,1666,1313.156857
6410000,1167,1313.427151
6420000,1291,1313.697024
6430000,1875,1313.966477
6440000,1542,1314.235511
6450000,1875,1314.504128
6460000,1583,1314.772328
6470000,1500,1315.040114
6480000,1500,1315.307486
6490000,1417,1315.574446
6500000,1542,1315.840994
6510000,1250,1316.107134
6520000,1166,1316.372864
6530000,1291,1316.638187
6540000,1750,1316.903105
6550000,1334,1317.167617
6560000,1375,1317.431726
6570000,1125,1317.695433
6580000,1375,1317.958738
6590000,1166,1318.221644
6600000,1500,1318.484151
6610000,1500,1318.746261
6620000,1791,1319.007974
6630000,1208,1319.269293
6640000,3417,1319.530217
6650000,1375,1319.790749
6660000,1375,1320.05089
6670000,1125,1320.31064
6680000,1542,1320.570001
6690000,1916,1320.828974
6700000,1416,1321.08756
6710000,1542,1321.34576
6720000,1875,1321.603576
6730000,4375,1321.861009
6740000,1083,1322.118059
6750000,625,1322.374729
6760000,1792,1322.631018
6770000,791,1322.886928
6780000,1583,1323.142461
6790000,1500,1323.397617
6800000,1833,1323.652398
6810000,1667,1323.906804
6820000,1209,1324.160837
6830000,1917,1324.414498
6840000,1750,1324.667787
6850000,1208,1324.920707
6860000,1125,1325.173257
6870000,1375,1325.42544
6880000,2042,1325.677256
6890000,1250,1325.928706
6900000,1500,1326.179792
6910000,1584,1326.430514
6920000,1625,1326.680873
6930000,1625,1326.930871
6940000,1292,1327.180508
6950000,1291,1327.429786
6960000,1208,1327.678705
6970000,1709,1327.927267
6980000,1750,1328.175473
6990000,1166,1328.423323
7000000,1375,1328.670819
7010000,1542,1328.917962
7020000,1834,1329.164752
7030000,1250,1329.411191
7040000,1583,1329.65728
7050000,1459,1329.903019
7060000,1167,1330.14841
7070000,1625,1330.393454
7080000,1625,1330.638152
7090000,1417,1330.882504
7100000,2459,1331.126511
7110000,1959,1331.370176
7120000,1667,1331.613497
7130000,750,1331.856478
7140000,1583,1332.099117
7150000,1375,1332.341417
7160000,1375,1332.583379
7170000,1916,1332.825003
7180000,1541,1333.06629
7190000,1625,1333.307241
7200000,1542,1333.547857
